user,point_id,satellites_used,observation_count,avg_observation_gap_h,max_observation_gap_h,observation_times_utc,observation_times_sat_utc
User1,2025-01-01|0520|-30.6275|120.57|1,FLOCK 4Q-34;ICEYE-X13;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X,9,42.03958333333333,98.83333333333333,2025-01-01 01:49:00Z | 2025-01-03 06:59:30Z | 2025-01-03 21:49:30Z | 2025-01-07 05:18:30Z | 2025-01-08 02:09:00Z | 2025-01-08 21:39:00Z | 2025-01-09 21:42:30Z | 2025-01-14 00:32:30Z | 2025-01-15 02:08:00Z,2025-01-01 01:49:00Z@Landsat-8 | 2025-01-03 06:59:30Z@ICEYE-X13 | 2025-01-03 21:49:30Z@TERRA SAR X | 2025-01-07 05:18:30Z@SKYSAT-C11 | 2025-01-08 02:09:00Z@FLOCK 4Q-34 | 2025-01-08 21:39:00Z@SENTINEL-1A | 2025-01-09 21:42:30Z@TERRA SAR X | 2025-01-14 00:32:30Z@SKYSAT-C13 | 2025-01-15 02:08:00Z@FLOCK 4Q-34
User1,2025-01-01|0520|-30.62795|120.56577|0,FLOCK 4Q-34;ICEYE-X13;Landsat-8;SENTINEL-1A;SKYSAT-C13;TERRA SAR X,9,41.506249999999994,81.73333333333333,2025-01-01 01:49:00Z | 2025-01-01 21:46:30Z | 2025-01-04 02:22:00Z | 2025-01-06 02:07:30Z | 2025-01-08 21:39:00Z | 2025-01-12 07:23:00Z | 2025-01-13 02:14:30Z | 2025-01-14 00:32:30Z | 2025-01-14 21:52:00Z,2025-01-01 01:49:00Z@Landsat-8 | 2025-01-01 21:46:30Z@SENTINEL-1A | 2025-01-04 02:22:00Z@FLOCK 4Q-34 | 2025-01-06 02:07:30Z@Landsat-8 | 2025-01-08 21:39:00Z@SENTINEL-1A | 2025-01-12 07:23:00Z@ICEYE-X13 | 2025-01-13 02:14:30Z@Landsat-8 | 2025-01-14 00:32:30Z@SKYSAT-C13 | 2025-01-14 21:52:00Z@TERRA SAR X
User1,2025-01-01|0520|-30.63204|120.56634|3,Landsat-8;SENTINEL-1A;SKYSAT-C13,3,155.3625,187.83333333333334,2025-01-01 01:49:00Z | 2025-01-08 21:39:00Z | 2025-01-14 00:32:30Z,2025-01-01 01:49:00Z@Landsat-8 | 2025-01-08 21:39:00Z@SENTINEL-1A | 2025-01-14 00:32:30Z@SKYSAT-C13
User1,2025-01-01|0520|-30.6325|120.56211|2,FLOCK 4Q-34;ICEYE-X13;Landsat-8;SENTINEL-1A;TERRA SAR X,7,56.037499999999994,101.45,2025-01-01 01:49:00Z | 2025-01-05 07:16:00Z | 2025-01-08 21:39:00Z | 2025-01-09 07:47:00Z | 2025-01-10 02:49:00Z | 2025-01-13 22:09:00Z | 2025-01-15 02:02:30Z,2025-01-01 01:49:00Z@Landsat-8 | 2025-01-05 07:16:00Z@ICEYE-X13 | 2025-01-08 21:39:00Z@SENTINEL-1A | 2025-01-09 07:47:00Z@ICEYE-X13 | 2025-01-10 02:49:00Z@FLOCK 4Q-34 | 2025-01-13 22:09:00Z@TERRA SAR X | 2025-01-15 02:02:30Z@Landsat-8
User1,2025-01-01|0520|-30.63659|120.56264|5,Landsat-8;SENTINEL-1A;SKYSAT-C13,3,155.3625,187.83333333333334,2025-01-01 01:49:00Z | 2025-01-08 21:39:00Z | 2025-01-14 00:32:30Z,2025-01-01 01:49:00Z@Landsat-8 | 2025-01-08 21:39:00Z@SENTINEL-1A | 2025-01-14 00:32:30Z@SKYSAT-C13
User1,2025-01-01|0520|-30.63704|120.55843|4,FLOCK 4Q-34;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13,7,51.7875,92.36666666666666,2025-01-01 01:49:00Z | 2025-01-04 22:11:00Z | 2025-01-05 06:22:00Z | 2025-01-08 01:56:00Z | 2025-01-08 21:39:00Z | 2025-01-11 02:22:30Z | 2025-01-14 00:32:30Z,2025-01-01 01:49:00Z@Landsat-8 | 2025-01-04 22:11:00Z@SENTINEL-1A | 2025-01-05 06:22:00Z@SKYSAT-C11 | 2025-01-08 01:56:00Z@Landsat-8 | 2025-01-08 21:39:00Z@SENTINEL-1A | 2025-01-11 02:22:30Z@FLOCK 4Q-34 | 2025-01-14 00:32:30Z@SKYSAT-C13
User1,2025-01-01|0520|-30.69055|120.59496|7,FLOCK 4Q-34;ICEYE-X13;Landsat-8;SENTINEL-1A;SKYSAT-C11;SKYSAT-C13;TERRA SAR X,21,17.057916666666664,48.266666666666666,2025-01-01 01:49:00Z | 2025-01-01 06:43:30Z | 2025-01-02 01:42:00Z | 2025-01-02 09:50:30Z | 2025-01-03 09:42:30Z | 2025-01-04 05:21:00Z | 2025-01-04 21:33:00Z | 2025-01-05 21:14:30Z | 2025-01-06 06:37:30Z | 2025-01-08 06:53:30Z | 2025-01-08 21:39:00Z | 2025-01-09 09:43:00Z | 2025-01-09 19:12:30Z | 2025-01-10 07:08:30Z | 2025-01-10 21:22:30Z | 2025-01-12 00:16:30Z | 2025-01-12 21:06:30Z | 2025-01-13 06:44:30Z | 2025-01-14 00:32:30Z | 2025-01-14 09:45:00Z | 2025-01-15 06:58:30Z,2025-01-01 01:49:00Z@Landsat-8 | 2025-01-01 06:43:30Z@ICEYE-X13 | 2025-01-02 01:42:00Z@FLOCK 4Q-34 | 2025-01-02 09:50:30Z@SENTINEL-1A | 2025-01-03 09:42:30Z@TERRA SAR X | 2025-01-04 05:21:00Z@SKYSAT-C11 | 2025-01-04 21:33:00Z@TERRA SAR X | 2025-01-05 21:14:30Z@SENTINEL-1A | 2025-01-06 06:37:30Z@ICEYE-X13 | 2025-01-08 06:53:30Z@ICEYE-X13 | 2025-01-08 21:39:00Z@SENTINEL-1A | 2025-01-09 09:43:00Z@SENTINEL-1A | 2025-01-09 19:12:30Z@ICEYE-X13 | 2025-01-10 07:08:30Z@ICEYE-X13 | 2025-01-10 21:22:30Z@SENTINEL-1A | 2025-01-12 00:16:30Z@SKYSAT-C13 | 2025-01-12 21:06:30Z@SENTINEL-1A | 2025-01-13 06:44:30Z@ICEYE-X13 | 2025-01-14 00:32:30Z@SKYSAT-C13 | 2025-01-14 09:45:00Z@TERRA SAR X | 2025-01-15 06:58:30Z@ICEYE-X13
User1,2025-01-01|0520|-30.69099|120.59079|6,FLOCK 4Q-34;Landsat-8;SENTINEL-1A;SKYSAT-C13,5,77.68125,94.25,2025-01-01 01:49:00Z | 2025-01-05 00:04:00Z | 2025-01-08 21:39:00Z | 2025-01-12 01:55:30Z | 2025-01-14 00:32:30Z,2025-01-01 01:49:00Z@Landsat-8 | 2025-01-05 00:04:00Z@SKYSAT-C13 | 2025-01-08 21:39:00Z@SENTINEL-1A | 2025-01-12 01:55:30Z@FLOCK 4Q-34 | 2025-01-14 00:32:30Z@SKYSAT-C13
User1,2025-01-01|0520|-30.69464|120.59551|10,FLOCK 4Q-34;ICEYE-X13;Landsat-8;SENTINEL-1A;SKYSAT-C13;TERRA SAR X,18,19.65245098039216,48.43333333333333,2025-01-01 01:49:00Z | 2025-01-01 13:54:00Z | 2025-01-03 14:20:00Z | 2025-01-03 21:30:30Z | 2025-01-04 19:19:30Z | 2025-01-05 21:16:00Z | 2025-01-06 14:33:30Z | 2025-01-07 01:13:00Z | 2025-01-08 14:01:00Z | 2025-01-08 21:39:00Z | 2025-01-10 00:00:00Z | 2025-01-10 14:20:00Z | 2025-01-10 21:26:00Z | 2025-01-11 21:09:00Z | 2025-01-13 12:36:00Z | 2025-01-14 00:32:30Z | 2025-01-14 09:51:30Z | 2025-01-14 23:54:30Z,2025-01-01 01:49:00Z@Landsat-8 | 2025-01-01 13:54:00Z@Landsat-8 | 2025-01-03 14:20:00Z@FLOCK 4Q-34 | 2025-01-03 21:30:30Z@SENTINEL-1A | 2025-01-04 19:19:30Z@ICEYE-X13 | 2025-01-05 21:16:00Z@TERRA SAR X | 2025-01-06 14:33:30Z@FLOCK 4Q-34 | 2025-01-07 01:13:00Z@Landsat-8 | 2025-01-08 14:01:00Z@Landsat-8 | 2025-01-08 21:39:00Z@SENTINEL-1A | 2025-01-10 00:00:00Z@SKYSAT-C13 | 2025-01-10 14:20:00Z@FLOCK 4Q-34 | 2025-01-10 21:26:00Z@TERRA SAR X | 2025-01-11 21:09:00Z@TERRA SAR X | 2025-01-13 12:36:00Z@SKYSAT-C13 | 2025-01-14 00:32:30Z@SKYSAT-C13 | 2025-01-14 09:51:30Z@SENTINEL-1A | 2025-01-14 23:54:30Z@SKYSAT-C13
User1,2025-01-01|0520|-30.69551|120.58718|9,Landsat-8;SENTINEL-1A;SKYSAT-C13,3,155.3625,187.83333333333334,2025-01-01 01:49:00Z | 2025-01-08 21:39:00Z | 2025-01-14 00:32:30Z,2025-01-01 01:49:00Z@Landsat-8 | 2025-01-08 21:39:00Z@SENTINEL-1A | 2025-01-14 00:32:30Z@SKYSAT-C13
