user,point_id,satellite,t_start,t_mid,t_end,off_nadir_deg,sub_lat,sub_lon,cover_km,track_dist_km_mid,cap_swath_km,cap_access_km_per_deg,access_radius_km_used,lat,lon
User2,2025-01-01|1456|-29.41149|148.49712|2,Landsat-8,2025-01-01 00:07:30+00:00,2025-01-01 00:09:30+00:00,2025-01-01 00:11:30+00:00,9.05,-28.965232,145.747972,40.0,271.44,80.0,30.0,900.0,-29.41149,148.49712
User1,2025-01-01|1637|-34.88806|116.60606|4,Global-18,2025-01-01 00:18:00+00:00,2025-01-01 00:19:30+00:00,2025-01-01 00:21:30+00:00,5.39,-36.342335,116.596197,40.0,161.71,80.0,30.0,900.0,-34.88806,116.60606
User4,2025-01-01|0525|-19.88857|124.18351|6,Global-18,2025-01-01 00:23:00+00:00,2025-01-01 00:24:00+00:00,2025-01-01 00:25:00+00:00,23.62,-23.952571,129.475114,40.0,708.49,80.0,30.0,900.0,-19.88857,124.18351
User1,2025-01-01|0701|-34.9426|117.28642|1,Global-17,2025-01-01 00:32:00+00:00,2025-01-01 00:33:30+00:00,2025-01-01 00:35:30+00:00,11.37,-37.997601,116.926417,40.0,341.22,80.0,30.0,900.0,-34.9426,117.28642
User2,2025-01-01|0338|-31.61114|148.02734|0,FLOCK 4Q-34,2025-01-01 00:32:30+00:00,2025-01-01 00:34:00+00:00,2025-01-01 00:36:00+00:00,6.91,-30.177093,146.63987,40.0,207.25,80.0,30.0,900.0,-31.61114,148.02734
User2,2025-01-01|1456|-31.61052|148.03897|3,Global-17,2025-01-01 00:40:00+00:00,2025-01-01 00:40:30+00:00,2025-01-01 00:41:00+00:00,27.99,-25.370539,143.195624,40.0,839.66,80.0,30.0,900.0,-31.61052,148.03897
User4,2025-01-01|0525|-18.44464|124.00027|5,SKYSAT-C13,2025-01-01 00:59:00+00:00,2025-01-01 00:59:00+00:00,2025-01-01 00:59:30+00:00,29.04,-16.096961,116.17246,40.0,871.07,80.0,30.0,900.0,-18.44464,124.00027
User1,2025-01-01|1637|-30.89297|117.53767|29,SKYSAT-C13,2025-01-01 01:01:00+00:00,2025-01-01 01:02:30+00:00,2025-01-01 01:04:30+00:00,14.37,-29.490942,113.353672,40.0,431.25,80.0,30.0,900.0,-30.89297,117.53767
User4,2025-01-01|0525|-15.89607|127.44965|12,Landsat-8,2025-01-01 01:43:00+00:00,2025-01-01 01:44:30+00:00,2025-01-01 01:46:30+00:00,11.6,-14.90864,124.369252,40.0,347.99,80.0,30.0,900.0,-15.89607,127.44965
User1,2025-01-01|0520|-30.63204|120.56634|3,Landsat-8,2025-01-01 01:47:30+00:00,2025-01-01 01:49:00+00:00,2025-01-01 01:51:00+00:00,9.31,-31.14681,120.452766,40.0,279.21,80.0,30.0,900.0,-30.63204,120.56634
User1,2025-01-01|0520|-30.70414|120.58405|14,Landsat-8,2025-01-01 01:47:30+00:00,2025-01-01 01:49:00+00:00,2025-01-01 01:51:00+00:00,9.31,-31.14681,120.452766,40.0,279.21,80.0,30.0,900.0,-30.70414,120.58405
User1,2025-01-01|0520|-30.6996|120.58772|12,Landsat-8,2025-01-01 01:47:30+00:00,2025-01-01 01:49:00+00:00,2025-01-01 01:51:00+00:00,9.31,-31.14681,120.452766,40.0,279.21,80.0,30.0,900.0,-30.6996,120.58772
User1,2025-01-01|0520|-30.69055|120.59496|7,Landsat-8,2025-01-01 01:47:30+00:00,2025-01-01 01:49:00+00:00,2025-01-01 01:51:00+00:00,9.31,-31.14681,120.452766,40.0,279.21,80.0,30.0,900.0,-30.69055,120.59496
User1,2025-01-01|0520|-30.63704|120.55843|4,Landsat-8,2025-01-01 01:47:30+00:00,2025-01-01 01:49:00+00:00,2025-01-01 01:51:00+00:00,9.31,-31.14681,120.452766,40.0,279.21,80.0,30.0,900.0,-30.63704,120.55843
User1,2025-01-01|0520|-30.69916|120.59188|13,Landsat-8,2025-01-01 01:47:30+00:00,2025-01-01 01:49:00+00:00,2025-01-01 01:51:00+00:00,9.31,-31.14681,120.452766,40.0,279.21,80.0,30.0,900.0,-30.69916,120.59188
User1,2025-01-01|0520|-30.70004|120.58353|11,Landsat-8,2025-01-01 01:47:30+00:00,2025-01-01 01:49:00+00:00,2025-01-01 01:51:00+00:00,9.31,-31.14681,120.452766,40.0,279.21,80.0,30.0,900.0,-30.70004,120.58353
User1,2025-01-01|0520|-30.69551|120.58718|9,Landsat-8,2025-01-01 01:47:30+00:00,2025-01-01 01:49:00+00:00,2025-01-01 01:51:00+00:00,9.31,-31.14681,120.452766,40.0,279.21,80.0,30.0,900.0,-30.69551,120.58718
User1,2025-01-01|0520|-30.62795|120.56577|0,Landsat-8,2025-01-01 01:47:30+00:00,2025-01-01 01:49:00+00:00,2025-01-01 01:51:00+00:00,9.31,-31.14681,120.452766,40.0,279.21,80.0,30.0,900.0,-30.62795,120.56577
User1,2025-01-01|0520|-30.69099|120.59079|6,Landsat-8,2025-01-01 01:47:30+00:00,2025-01-01 01:49:00+00:00,2025-01-01 01:51:00+00:00,9.31,-31.14681,120.452766,40.0,279.21,80.0,30.0,900.0,-30.69099,120.59079
User1,2025-01-01|0520|-30.69464|120.59551|10,Landsat-8,2025-01-01 01:47:30+00:00,2025-01-01 01:49:00+00:00,2025-01-01 01:51:00+00:00,9.31,-31.14681,120.452766,40.0,279.21,80.0,30.0,900.0,-30.69464,120.59551
User1,2025-01-01|0520|-30.6275|120.57|1,Landsat-8,2025-01-01 01:47:30+00:00,2025-01-01 01:49:00+00:00,2025-01-01 01:51:00+00:00,9.31,-31.14681,120.452766,40.0,279.21,80.0,30.0,900.0,-30.6275,120.57
User1,2025-01-01|0520|-30.70458|120.57986|15,Landsat-8,2025-01-01 01:47:30+00:00,2025-01-01 01:49:00+00:00,2025-01-01 01:51:00+00:00,9.31,-31.14681,120.452766,40.0,279.21,80.0,30.0,900.0,-30.70458,120.57986
User1,2025-01-01|0520|-30.69596|120.583|8,Landsat-8,2025-01-01 01:47:30+00:00,2025-01-01 01:49:00+00:00,2025-01-01 01:51:00+00:00,9.31,-31.14681,120.452766,40.0,279.21,80.0,30.0,900.0,-30.69596,120.583
User1,2025-01-01|0520|-30.63659|120.56264|5,Landsat-8,2025-01-01 01:47:30+00:00,2025-01-01 01:49:00+00:00,2025-01-01 01:51:00+00:00,9.31,-31.14681,120.452766,40.0,279.21,80.0,30.0,900.0,-30.63659,120.56264
User1,2025-01-01|0520|-30.6325|120.56211|2,Landsat-8,2025-01-01 01:47:30+00:00,2025-01-01 01:49:00+00:00,2025-01-01 01:51:00+00:00,9.31,-31.14681,120.452766,40.0,279.21,80.0,30.0,900.0,-30.6325,120.56211
User4,2025-01-01|0525|-15.84993|127.50242|9,Global-19,2025-01-01 01:51:30+00:00,2025-01-01 01:53:00+00:00,2025-01-01 01:54:30+00:00,18.15,-11.907119,130.495057,40.0,544.54,80.0,30.0,900.0,-15.84993,127.50242
User4,2025-01-01|1637|-21.696|114.99111|3,Global-18,2025-01-01 01:58:00+00:00,2025-01-01 01:59:30+00:00,2025-01-01 02:01:00+00:00,20.61,-18.52458,110.127588,40.0,618.17,80.0,30.0,900.0,-21.696,114.99111
User2,2025-01-01|0338|-30.9331|150.95076|7,Global-19,2025-01-01 01:58:30+00:00,2025-01-01 02:00:00+00:00,2025-01-01 02:02:00+00:00,10.27,-28.216479,151.582945,40.0,308.2,80.0,30.0,900.0,-30.9331,150.95076
User1,2025-01-01|0658|-31.58682|117.06496|8,FLOCK 4Q-34,2025-01-01 02:07:30+00:00,2025-01-01 02:09:00+00:00,2025-01-01 02:10:30+00:00,17.53,-33.119765,122.362287,40.0,525.9,80.0,30.0,900.0,-31.58682,117.06496
User1,2025-01-01|0520|-32.06417|115.90752|1,Global-17,2025-01-01 02:10:30+00:00,2025-01-01 02:12:00+00:00,2025-01-01 02:14:00+00:00,14.3,-29.769154,112.292828,40.0,428.94,80.0,30.0,900.0,-32.06417,115.90752
User4,2025-01-01|0525|-15.89854|127.45353|13,Global-17,2025-01-01 02:15:30+00:00,2025-01-01 02:17:00+00:00,2025-01-01 02:19:00+00:00,10.71,-18.681281,128.270348,40.0,321.35,80.0,30.0,900.0,-15.89854,127.45353
User4,2025-01-01|0522|-21.58768|115.91287|1,Global-19,2025-01-01 03:28:00+00:00,2025-01-01 03:30:00+00:00,2025-01-01 03:32:00+00:00,2.27,-20.196323,116.288978,40.0,68.22,80.0,30.0,900.0,-21.58768,115.91287
User4,2025-01-01|0525|-20.61659|116.76594|2,Global-19,2025-01-01 03:28:00+00:00,2025-01-01 03:30:00+00:00,2025-01-01 03:32:00+00:00,2.27,-20.196323,116.288978,40.0,68.22,80.0,30.0,900.0,-20.61659,116.76594
User2,2025-01-01|1456|-31.63361|148.04138|1,Global-19,2025-01-01 03:37:00+00:00,2025-01-01 03:38:00+00:00,2025-01-01 03:39:30+00:00,20.63,-36.197349,144.197862,40.0,618.98,80.0,30.0,900.0,-31.63361,148.04138
