user,point_id,satellite,t_start,t_mid,t_end,lat,lon,off_nadir_deg,sub_lat,sub_lon,cover_km,track_dist_km_mid,cap_swath_km,cap_access_km_per_deg,cap_max_off_deg,access_radius_km_used
User4,2025-01-01|1637|-21.696|114.99111|3,SKYSAT-C13,2025-01-01 00:58:30+00:00,2025-01-01 01:00:30+00:00,2025-01-01 01:02:30+00:00,-21.696,114.99111,0.55,-21.844566,115.009814,40.0,16.63,80.0,30.0,30.0,900.0
User4,2025-01-01|0525|-18.44464|124.00027|5,Landsat-8,2025-01-01 01:43:30+00:00,2025-01-01 01:45:30+00:00,2025-01-01 01:47:30+00:00,-18.44464,124.00027,1.61,-18.525204,123.551513,40.0,48.17,80.0,30.0,30.0,900.0
User4,2025-01-01|0525|-18.47853|124.08857|3,Landsat-8,2025-01-01 01:43:30+00:00,2025-01-01 01:45:30+00:00,2025-01-01 01:47:30+00:00,-18.47853,124.08857,1.61,-18.525204,123.551513,40.0,48.17,80.0,30.0,30.0,900.0
User4,2025-01-01|0525|-18.4791|124.08491|4,Landsat-8,2025-01-01 01:43:30+00:00,2025-01-01 01:45:30+00:00,2025-01-01 01:47:30+00:00,-18.4791,124.08491,1.61,-18.525204,123.551513,40.0,48.17,80.0,30.0,30.0,900.0
User4,2025-01-01|0525|-18.48677|124.10123|2,Landsat-8,2025-01-01 01:43:30+00:00,2025-01-01 01:45:30+00:00,2025-01-01 01:47:30+00:00,-18.48677,124.10123,1.61,-18.525204,123.551513,40.0,48.17,80.0,30.0,30.0,900.0
User4,2025-01-01|0525|-18.48895|124.10912|1,Landsat-8,2025-01-01 01:43:30+00:00,2025-01-01 01:45:30+00:00,2025-01-01 01:47:30+00:00,-18.48895,124.10912,1.61,-18.525204,123.551513,40.0,48.17,80.0,30.0,30.0,900.0
User4,2025-01-01|0525|-20.61659|116.76594|2,Global-19,2025-01-01 03:28:00+00:00,2025-01-01 03:30:00+00:00,2025-01-01 03:32:00+00:00,-20.61659,116.76594,5.32,-20.196323,116.288978,40.0,159.57,80.0,30.0,30.0,900.0
User2,2025-01-01|1456|-30.98389|152.7645|13,SKYSAT-C11,2025-01-01 03:47:30+00:00,2025-01-01 03:49:00+00:00,2025-01-01 03:51:00+00:00,-30.98389,152.7645,4.5,-30.517987,152.265308,40.0,134.98,80.0,30.0,30.0,900.0
User3,2025-01-01|0340|-26.30475|151.2682|0,ICEYE-X13,2025-01-01 05:07:00+00:00,2025-01-01 05:08:30+00:00,2025-01-01 05:10:00+00:00,-26.30475,151.2682,15.74,-26.052333,151.960984,40.0,472.28,80.0,30.0,30.0,900.0
User1,2025-01-01|0701|-34.9426|117.28642|1,Global-19,2025-01-01 05:09:30+00:00,2025-01-01 05:11:00+00:00,2025-01-01 05:12:30+00:00,-34.9426,117.28642,19.0,-35.256068,117.910362,40.0,569.89,80.0,30.0,30.0,900.0
