user,point_id,satellite,t_start,t_mid,t_end,lat,lon,off_nadir_deg,sub_lat,sub_lon,cover_km,track_dist_km_mid,cap_swath_km,cap_access_km_per_deg,cap_max_off_deg,access_radius_km_used
user4,2025-01-01|0522|-21.58768|115.91287|1,SKYSAT-C13,2025-01-01T00:58:30Z,2025-01-01T01:00:30Z,2025-01-01T01:02:30Z,-21.58768,115.91287,0.55,-21.844566,115.009814,40.0,16.63,80.0,30.0,30.0,900.0
user4,2025-01-01|0522|-21.59254|115.91343|0,SKYSAT-C13,2025-01-01T00:58:30Z,2025-01-01T01:00:30Z,2025-01-01T01:02:30Z,-21.59254,115.91343,0.55,-21.844566,115.009814,40.0,16.63,80.0,30.0,30.0,900.0
user4,2025-01-01|1637|-21.696|114.99111|3,SKYSAT-C13,2025-01-01T00:58:30Z,2025-01-01T01:00:30Z,2025-01-01T01:02:30Z,-21.696,114.99111,0.55,-21.844566,115.009814,40.0,16.63,80.0,30.0,30.0,900.0
user1,2025-01-01|0520|-30.6275|120.57|1,Landsat-8,2025-01-01T01:47:30Z,2025-01-01T01:49:00Z,2025-01-01T01:51:00Z,-30.6275,120.57,13.29,-31.14681,120.452766,40.0,398.6,80.0,30.0,30.0,900.0
user1,2025-01-01|0520|-30.62795|120.56577|0,Landsat-8,2025-01-01T01:47:30Z,2025-01-01T01:49:00Z,2025-01-01T01:51:00Z,-30.62795,120.56577,13.29,-31.14681,120.452766,40.0,398.6,80.0,30.0,30.0,900.0
user1,2025-01-01|0520|-30.63204|120.56634|3,Landsat-8,2025-01-01T01:47:30Z,2025-01-01T01:49:00Z,2025-01-01T01:51:00Z,-30.63204,120.56634,13.29,-31.14681,120.452766,40.0,398.6,80.0,30.0,30.0,900.0
user1,2025-01-01|0520|-30.6325|120.56211|2,Landsat-8,2025-01-01T01:47:30Z,2025-01-01T01:49:00Z,2025-01-01T01:51:00Z,-30.6325,120.56211,13.29,-31.14681,120.452766,40.0,398.6,80.0,30.0,30.0,900.0
user1,2025-01-01|0520|-30.63659|120.56264|5,Landsat-8,2025-01-01T01:47:30Z,2025-01-01T01:49:00Z,2025-01-01T01:51:00Z,-30.63659,120.56264,13.29,-31.14681,120.452766,40.0,398.6,80.0,30.0,30.0,900.0
user1,2025-01-01|0520|-30.63704|120.55843|4,Landsat-8,2025-01-01T01:47:30Z,2025-01-01T01:49:00Z,2025-01-01T01:51:00Z,-30.63704,120.55843,13.29,-31.14681,120.452766,40.0,398.6,80.0,30.0,30.0,900.0
user1,2025-01-01|0520|-30.69055|120.59496|7,Landsat-8,2025-01-01T01:47:30Z,2025-01-01T01:49:00Z,2025-01-01T01:51:00Z,-30.69055,120.59496,13.29,-31.14681,120.452766,40.0,398.6,80.0,30.0,30.0,900.0
user1,2025-01-01|0520|-30.69099|120.59079|6,Landsat-8,2025-01-01T01:47:30Z,2025-01-01T01:49:00Z,2025-01-01T01:51:00Z,-30.69099,120.59079,13.29,-31.14681,120.452766,40.0,398.6,80.0,30.0,30.0,900.0
user1,2025-01-01|0520|-30.69464|120.59551|10,Landsat-8,2025-01-01T01:47:30Z,2025-01-01T01:49:00Z,2025-01-01T01:51:00Z,-30.69464,120.59551,13.29,-31.14681,120.452766,40.0,398.6,80.0,30.0,30.0,900.0
