latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,instrument,confidence,version,bright_t31,frp,daynight
-30.9355,150.93427,350,0.39,0.36,2025-01-01,338,N21,VIIRS,n,2.0NRT,313.52,22.22,D
-37.14511,145.94736,341.45,0.47,0.48,2025-01-01,338,N21,VIIRS,n,2.0NRT,304.65,11.67,D
-37.14182,145.94319,335.08,0.47,0.48,2025-01-01,338,N21,VIIRS,l,2.0NRT,305.12,10.71,D
-37.23451,142.60802,367,0.36,0.57,2025-01-01,338,N21,VIIRS,h,2.0NRT,306.12,12.07,D
-37.2347,142.60495,353.91,0.36,0.58,2025-01-01,338,N21,VIIRS,n,2.0NRT,301.28,12.07,D
-37.22937,142.60414,337.78,0.36,0.58,2025-01-01,338,N21,VIIRS,n,2.0NRT,299.56,12.07,D
-35.32438,142.20819,347.12,0.37,0.58,2025-01-01,338,N21,VIIRS,n,2.0NRT,314.48,4.83,D
-34.46813,150.89221,336.76,0.41,0.37,2025-01-01,338,N21,VIIRS,l,2.0NRT,306.91,11.91,D
-34.45909,150.88132,335.11,0.41,0.37,2025-01-01,338,N21,VIIRS,l,2.0NRT,301.65,9.69,D
-34.45628,150.87621,332.83,0.41,0.37,2025-01-01,338,N21,VIIRS,l,2.0NRT,303.33,11.05,D
-34.63677,148.45836,344.04,0.5,0.41,2025-01-01,338,N21,VIIRS,l,2.0NRT,317.48,10,D
-34.63651,148.45705,352.39,0.5,0.41,2025-01-01,338,N21,VIIRS,n,2.0NRT,320.68,10.18,D
-33.18337,149.97404,367,0.42,0.38,2025-01-01,338,N21,VIIRS,h,2.0NRT,301.76,15.27,D
-33.12378,150.37042,351.62,0.41,0.37,2025-01-01,338,N21,VIIRS,l,2.0NRT,313.34,28.25,D
-33.1186,150.3829,367,0.41,0.37,2025-01-01,338,N21,VIIRS,h,2.0NRT,308.55,23.28,D
-33.11918,150.37856,355.13,0.41,0.37,2025-01-01,338,N21,VIIRS,n,2.0NRT,309.9,23.81,D
-33.11977,150.37418,350.49,0.41,0.37,2025-01-01,338,N21,VIIRS,l,2.0NRT,309.79,23.81,D
-33.12036,150.3698,352.41,0.41,0.37,2025-01-01,338,N21,VIIRS,l,2.0NRT,310.72,28.25,D
-33.12095,150.36534,350.33,0.41,0.37,2025-01-01,338,N21,VIIRS,l,2.0NRT,318.21,28.25,D
-33.12155,150.36087,341.75,0.41,0.37,2025-01-01,338,N21,VIIRS,l,2.0NRT,301.32,8.07,D
-33.11753,150.36469,348.96,0.41,0.37,2025-01-01,338,N21,VIIRS,l,2.0NRT,307.42,9.77,D
-33.10999,150.39478,340.96,0.41,0.37,2025-01-01,338,N21,VIIRS,l,2.0NRT,305.18,14.88,D
-33.11058,150.39038,345.44,0.41,0.37,2025-01-01,338,N21,VIIRS,l,2.0NRT,309.77,14.88,D
-33.11411,150.36404,336.86,0.41,0.37,2025-01-01,338,N21,VIIRS,l,2.0NRT,304.23,9.77,D
-33.10657,150.39413,352.47,0.41,0.37,2025-01-01,338,N21,VIIRS,l,2.0NRT,318.76,82.94,D
-33.09971,150.39293,367,0.41,0.37,2025-01-01,338,N21,VIIRS,l,2.0NRT,340.12,120.31,D
-33.0957,150.39673,367,0.41,0.37,2025-01-01,338,N21,VIIRS,h,2.0NRT,330.5,361.77,D
-33.09688,150.38788,334.89,0.41,0.37,2025-01-01,338,N21,VIIRS,l,2.0NRT,302.1,120.31,D
-33.09657,150.39438,306.35,0.41,0.37,2025-01-01,338,N21,VIIRS,l,2.0NRT,324.34,240.28,D
-33.08972,150.39313,367,0.41,0.37,2025-01-01,338,N21,VIIRS,h,2.0NRT,295.86,59.69,D
-33.09093,150.38426,333.23,0.41,0.37,2025-01-01,338,N21,VIIRS,l,2.0NRT,295.43,5.16,D
-33.08751,150.38361,345.96,0.41,0.37,2025-01-01,338,N21,VIIRS,l,2.0NRT,304.05,5.16,D
-33.08812,150.37914,339.46,0.41,0.37,2025-01-01,338,N21,VIIRS,l,2.0NRT,304.26,5.16,D
-33.08873,150.37466,335.85,0.41,0.37,2025-01-01,338,N21,VIIRS,n,2.0NRT,302.2,6.14,D
-33.08348,150.38736,367,0.41,0.37,2025-01-01,338,N21,VIIRS,h,2.0NRT,298.1,18.74,D
